artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,2002,53,0.718,0.69,-4.382,0.265,0.106,0.0,0.271,0.774,93.401,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,0.583,0.643,-7.486,0.355,0.171,0.0,0.0395,0.7,195.685,pop
Linkin Park,In the End,216880,2000,83,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,2002,66,0.607,0.923,-6.777,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,set()
Aaliyah,Rock The Boat,275026,2019,0,0.641,0.72,-5.209,0.0336,0.0688,0.00286,0.193,0.418,92.988,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,204400,2002,54,0.705,0.717,-4.944,0.125,0.00369,0.461,0.0701,0.554,97.036,"pop, Dance/Electronic"
Sugababes,Round Round,236426,2002,59,0.74,0.845,-3.802,0.0338,0.00287,6.23e-06,0.115,0.749,126.607,"pop, R&B"
Marilyn Manson,Tainted Love,200426,2003,60,0.622,0.876,-7.779,0.0728,0.00107,1.83e-06,0.292,0.537,142.017,"rock, metal"
Brandy,What About Us?,253200,2002,43,0.686,0.698,-2.942,0.223,0.263,0.0,0.39,0.748,93.118,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),200480,2003,66,0.427,0.843,-4.54,0.0364,0.00216,0.0,0.179,0.304,147.387,metal
Britney Spears,Overprotected - Radio Edit,198600,2001,61,0.682,0.894,-1.73,0.0727,0.0381,0.0,0.416,0.845,95.992,pop
Scooter,The Logical Song,234116,2013,46,0.527,0.933,-6.277,0.0382,0.00112,0.0362,0.425,0.493,144.043,"pop, Dance/Electronic"
Aaliyah,More Than A Woman,230346,2002,42,0.646,0.638,-5.803,0.0787,0.0556,0.0014,0.182,0.74,86.994,"hip hop, pop, R&B"
